Timestamp (UTC),Open,High,Low,Close,RB Jun23-Jul23 Calendar: Volume,RB Jun23-Jul23 Calendar: ATR ‌ATR‌ (14)
2023-02-15 14:15:00,0.0404,0.0412,0.0404,0.0410,40,5.093612979
2023-02-15 14:30:00,0.0409,0.0409,0.0398,0.0399,57,5.586926338
2023-02-15 14:45:00,0.0397,0.0398,0.0394,0.0394,93,5.545003028
2023-02-15 15:00:00,0.0392,0.0395,0.0392,0.0395,12,5.363217097
2023-02-15 15:15:00,0.0395,0.0395,0.0391,0.0393,11,5.265844448
2023-02-15 15:30:00,0.0390,0.0390,0.0374,0.0380,48,6.246855559
2023-02-15 15:45:00,0.0375,0.0375,0.0349,0.0349,368,8.014937304
2023-02-15 16:00:00,0.0348,0.0361,0.0343,0.0360,384,8.728156068
2023-02-15 16:15:00,0.0359,0.0371,0.0358,0.0364,132,9.033287778
2023-02-15 16:30:00,0.0362,0.0375,0.0361,0.0368,32,9.388052936
2023-02-15 16:45:00,0.0368,0.0370,0.0363,0.0363,57,9.217477727
2023-02-15 17:00:00,0.0364,0.0369,0.0363,0.0367,96,8.987657889
2023-02-15 17:15:00,0.0370,0.0374,0.0368,0.0372,166,8.845682326
2023-02-15 17:30:00,0.0377,0.0384,0.0377,0.0383,55,9.070990731
2023-02-15 17:45:00,0.0381,0.0382,0.0370,0.0373,160,9.35163425
2023-02-15 18:00:00,0.0374,0.0380,0.0374,0.0379,72,9.183660375
2023-02-15 18:15:00,0.0379,0.0380,0.0377,0.0379,108,8.741970348
2023-02-15 18:30:00,0.0378,0.0380,0.0375,0.0380,133,8.474686752
2023-02-15 18:45:00,0.0379,0.0385,0.0379,0.0385,223,8.297923413
2023-02-15 19:00:00,0.0385,0.0391,0.0385,0.0385,85,8.133786026
2023-02-15 19:15:00,0.0385,0.0400,0.0385,0.0394,441,8.624229881
2023-02-15 19:30:00,0.0393,0.0397,0.0392,0.0396,24,8.365356318
2023-02-15 19:45:00,0.0397,0.0399,0.0392,0.0399,74,8.267830867
2023-02-15 20:00:00,0.0395,0.0395,0.0392,0.0393,10,8.177271519
2023-02-15 20:15:00,0.0392,0.0395,0.0390,0.0391,17,7.950323554
2023-02-15 20:30:00,0.0390,0.0391,0.0388,0.0391,54,7.596729014
2023-02-15 20:45:00,0.0391,0.0391,0.0390,0.0390,3,7.125534085
2023-02-15 21:15:00,0.0390,0.0391,0.0390,0.0391,2,6.687995936
2023-02-15 21:30:00,0.0392,0.0393,0.0391,0.0392,8,6.353139083
2023-02-15 21:45:00,0.0394,0.0400,0.0394,0.0399,30,6.470772006
2023-02-16 06:00:00,0.0396,0.0400,0.0396,0.0400,100,6.294288291
2023-02-16 06:30:00,0.0400,0.0400,0.0400,0.0400,2,5.84469627
2023-02-16 06:45:00,0.0400,0.0400,0.0400,0.0400,5,5.427217965
2023-02-16 08:00:00,0.0400,0.0402,0.0400,0.0402,3,5.182416682
2023-02-16 08:45:00,0.0400,0.0400,0.0400,0.0400,1,4.955101205
2023-02-16 09:00:00,0.0399,0.0400,0.0399,0.0400,11,4.672593976
2023-02-16 09:15:00,0.0400,0.0400,0.0399,0.0400,35,4.410265835
2023-02-16 09:30:00,0.0400,0.0400,0.0399,0.0399,49,4.166675418
2023-02-16 09:45:00,0.0399,0.0399,0.0399,0.0399,97,3.869055745
2023-02-16 10:00:00,0.0399,0.0400,0.0399,0.0400,77,3.664123192
2023-02-16 10:15:00,0.0400,0.0400,0.0400,0.0400,8,3.402400107
2023-02-16 10:30:00,0.0400,0.0400,0.0400,0.0400,2,3.159371528
2023-02-16 10:45:00,0.0399,0.0400,0.0399,0.0400,14,3.005130704
2023-02-16 11:00:00,0.0400,0.0400,0.0399,0.0399,44,2.861907083
2023-02-16 11:30:00,0.0400,0.0400,0.0399,0.0399,56,2.72891372
2023-02-16 11:45:00,0.0400,0.0400,0.0399,0.0399,81,2.605419882
2023-02-16 12:00:00,0.0400,0.0400,0.0399,0.0399,40,2.490747034
2023-02-16 12:15:00,0.0399,0.0399,0.0395,0.0396,34,2.598550817
2023-02-16 12:30:00,0.0395,0.0395,0.0395,0.0395,2,2.484368616
2023-02-16 12:45:00,0.0396,0.0396,0.0396,0.0396,1,2.378342286
2023-02-16 13:00:00,0.0398,0.0399,0.0397,0.0398,43,2.422746409
2023-02-16 13:15:00,0.0397,0.0399,0.0396,0.0397,38,2.463978808
2023-02-16 13:30:00,0.0394,0.0394,0.0392,0.0392,29,2.645123179
2023-02-16 13:45:00,0.0393,0.0394,0.0384,0.0384,37,3.170471523
2023-02-16 14:00:00,0.0382,0.0389,0.0376,0.0381,77,3.8725807
2023-02-16 14:15:00,0.0382,0.0385,0.0371,0.0371,165,4.595967793
2023-02-16 14:30:00,0.0371,0.0378,0.0371,0.0373,84,4.767684379
2023-02-16 14:45:00,0.0373,0.0380,0.0373,0.0380,32,4.927135495
2023-02-16 15:00:00,0.0379,0.0379,0.0372,0.0373,91,5.146625817
2023-02-16 15:15:00,0.0373,0.0374,0.0358,0.0358,140,5.92186683
2023-02-16 15:30:00,0.0357,0.0364,0.0357,0.0360,292,5.998876342
2023-02-16 15:45:00,0.0360,0.0365,0.0360,0.0362,103,5.927528032
2023-02-16 16:00:00,0.0363,0.0363,0.0354,0.0354,39,6.146990315
2023-02-16 16:15:00,0.0356,0.0357,0.0352,0.0355,188,6.065062436
